osm_id,name,lat,lon,type,phone,website,address_city,address_street,category,tags.amenity,tags.cuisine,tags.name,extracted_emails,instagram,twitter,facebook,meta_description,tags.addr:city,tags.addr:housenumber,tags.addr:postcode,tags.addr:street,tags.fhrs:confidence_management,tags.fhrs:hygiene,tags.fhrs:id,tags.fhrs:local_authority_id,tags.fhrs:rating,tags.fhrs:structural,tags.phone,tags.source,tags.source:addr,tags.source:postcode,tags.website,tags.wheelchair,tags.wikidata,enrichment_error,tags.level,tags.indoor_seating,tags.outdoor_seating,tags.postal_code,tags.wikipedia,tags.brand,tags.brand:wikidata,tags.brand:wikipedia,tags.check_date,tags.contact:website,tags.name:ja,tags.opening_hours,tags.payment:cash,tags.payment:credit_cards,tags.payment:debit_cards,tags.note,tags.diet:vegetarian,linkedin,tags.diet:vegan,tags.name:en,tags.name:zh,tags.takeaway,tags.type,tags.official_name,tags.operator,tags.payment:american_express,tags.contact:instagram,tags.toilets:wheelchair,tags.old_name,tags.addr:country,tags.description,tags.source:addr:postcode,tags.survey:date,tags.reservation,tags.contact:facebook,tags.contact:twitter,tags.contact:phone,tags.addr:floor,tags.contact:fax,tags.addr:housename,tags.addr:place,tags.url,tags.disused,tags.email,tags.opening_hours:signed,tags.wikimedia_commons,tags.branch,tags.addr:interpolation,tags.wifi,tags.opening_hours:note,tags.alt_name,tags.diet:gluten_free,tags.fixme,tags.toilets,tags.toilets:access,tags.entrance,tags.air_conditioning,tags.capacity,tags.check_date:opening_hours,tags.highchair,tags.smoking,tags.name:zh-Hans,tags.name:zh-Hant,tags.building:levels,tags.addr:unit,tags.delivery,tags.name:es,tags.name:pt,tags.internet_access,tags.ref:vatin,tags.stars,tags.brand:en,tags.brand:zh,tags.internet_access:fee,tags.internet_access:ssid,tags.website:menu,tags.bar,tripadvisor,tags.diet:halal,tags.dog,tags.microbrewery,tags.payment:apple_pay,tags.payment:contactless,tags.payment:google_pay,tags.toilets:menstrual_products,tags.diet:meat,tags.check_date:diet:vegetarian,tags.payment:cards,tags.inscription,tags.building,tags.flickr,tags.image,tags.ref:GB:uprn,tags.roof:levels,tags.building:material,tags.roof:colour,tags.building:colour,tags.building:part,tags.toilets:unisex,tags.value,tags.wheelchair:description,tags.building:architecture,tags.source:addr:housenumber,tags.shop,tags.source:postal_code,tags.heritage,tags.heritage:operator,tags.heritage:website,tags.listed_status,tags.ref:GB:nhle,tags.short_name,tags.breakfast,tags.addr:parentstreet,tags.note:name:zh,tags.website:en,tags.serving_system:buffet,tags.payment:mastercard,tags.payment:visa,tags.changing_table,tags.toilets:disposal,tags.toilets:position,tags.cocktails
372519414,New World,51.5123678,-0.1303581,node,,,London,Gerrard Place,restaurant,restaurant,chinese,New World,,,,,,London,1,W1D 5PA,Gerrard Place,20,15,410918,00111/0001/0/000,0,20,,,FSA Food Hygiene Ratings Database,FSA Food Hygiene Ratings Database,,,,,,,,,,,,,,,,,,,,,,,,New World,新世界大酒家,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
372519553,Bar Italia,51.5134023,-0.1312004,node,,http://www.baritaliasoho.co.uk,London,Frith Street,cafe,cafe,,Bar Italia,,,,,,London,22,,Frith Street,5,0,413657,01333/0022/0/001,5,5,,,FSA Food Hygiene Ratings Database,FSA Food Hygiene Ratings Database,http://www.baritaliasoho.co.uk,,,403 Client Error: Forbidden for url: http://www.baritaliasoho.co.uk/,,,,W1D 4RP,,,,,2025-06-13,,,24/7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
382513039,Refuel,51.5141462,-0.1337974,node,,,,,restaurant,restaurant,,Refuel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
384759682,Nando's,51.5163212,-0.1359571,node,,https://www.nandos.co.uk/restaurants/berners-street,London,Berners Street,restaurant,restaurant,chicken;portuguese,Nando's,[],http://instagram.com/nandosuk,https://twitter.com/NandosUK,https://www.facebook.com/Nandos.UnitedKingdom,"Craving a Nando’s? Our restaurant's on Berners Street, Fitzrovia. Open for Eat-in, Collect and Delivery and perfect for grabbing lunch or dinner.",London,2,W1T 3LF,Berners Street,,,618931,,,,,,FHRS Open Data,,https://www.nandos.co.uk/restaurants/berners-street,,,,,yes,no,,,Nando's,Q3472954,en:Nando's,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
401529157,Snack Bar & Café,51.5143608,-0.1294674,node,,,,Charing Cross Road,cafe,cafe,sandwich,Snack Bar & Café,,,,,,,106,,Charing Cross Road,,,,,,,,,,,,no,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
401529164,Blank Street Coffee,51.5153653,-0.129944,node,,,London,Charing Cross Road,cafe,cafe,coffee_shop,Blank Street Coffee,,,,,,London,136,WC2H 0LA,Charing Cross Road,,,,,,,,,,,,,,,,,,,,Blank Street Coffee,Q114792509,,2025-08-20,,,,,,,,,,,,,yes,bags,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447872928,Govinda's,51.5157962,-0.1326509,node,,,London,Soho Street,restaurant,restaurant,indian,Govinda's,,,,,,London,10,W1D 3DL,Soho Street,10,10,413032,01019/0010/0/000,3,10,,,,FSA Food Hygiene Ratings Database,,,,,,yes,yes,W1D 3DL,,,,,2025-04-02,,,,,,,,only,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
452239272,Patara - Oxford Circus,51.5134245,-0.1414978,node,,,London,Maddox Street,restaurant,restaurant,thai,Patara - Oxford Circus,,,,,,London,3-7,W1S 2QB,Maddox Street,,,410923,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
456213965,Starbucks,51.5102976,-0.1391473,node,,,London,Vigo Street,cafe,cafe,coffee_shop,Starbucks,,,,,,London,6A,W1S 3HF,Vigo Street,,,780871,,,,,,,,,,,,,,,,,Starbucks,Q37158,en:Starbucks,2023-08-13,,,"Mo-Fr 07:00-20:00; Sa 07:30-20:30,09:00-20:00",,,,,,,,,,yes,,Starbucks Coffee,Starbucks,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
456214655,Peyote,51.510005,-0.1413215,node,+44 20 7409 1300,http://peyoterestaurant.com/,London,Cork Street,restaurant,restaurant,,Peyote,[],,,,8Day - mang đến sân chơi cá cược uy tín hàng đầu Việt Nam và Châu Á với không gian cá cược đẳng cấp 5 sao với kèo cược xanh chín cùng kho game đa dạng.,London,14,W1S 3NS,Cork Street,,,,,,,+44 20 7409 1300,,,,http://peyoterestaurant.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
456261144,Momo north-African & Mediterranean,51.5111738,-0.1398138,node,,,London,Heddon Street,restaurant,restaurant,,Momo north-African & Mediterranean,,,,,,London,25,W1B 4BH,Heddon Street,5,5,412930,00982/0025/0/000,5,5,,,,FSA Food Hygiene Ratings Database,,limited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
456718344,Nkora,51.5112419,-0.1413145,node,+44 20 7734 6177,http://nkora.co.uk,London,Old Burlington Street,cafe,cafe,,Nkora,[],https://www.instagram.com/nkoracoffee/,,,"Discover NKORA â a collective of specialty coffee shops across London & beyond. Quality crafted coffee, independent roasters, and spaces that invite pause. Visit our Mayfair, Shoreditch & other locations.",London,14,W1S 2JR,Old Burlington Street,,,1526581,,,,+44 20 7734 6177,,,,http://nkora.co.uk,,,,,,,,,,,,,,,Mo-Fr 07:00-18:30; Sa 07:00-18:00; Su 08:00-16:00,,,,,,,,,,,,,,,nkoracoffee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
466926237,Kiln,51.5113507,-0.1359965,node,,http://www.kilnsoho.com/,London,Brewer Street,restaurant,restaurant,thai,Kiln,[],http://instagram.com/super8restaurants/,,,"58 Brewer St London W1F 9TL | Mon—Sat 12.00—23.00, Sun 12.00—21.00",London,58,W1F 9TL,Brewer Street,,,904587,,,,,,,,http://www.kilnsoho.com/,no,,,,,,,,,,,2024-09-07,,,"Mo-Sa 12:00-14:30, 17:00-22:30; Su 13:00-20:00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
582630405,Costa,51.5148343,-0.1407765,node,,,London,Argyll Street,cafe,cafe,coffee_shop,Costa,,,,,,London,11,W1F 7TH,Argyll Street,5,5,413209,01092/0011/0/001,5,5,,,,FSA Food Hygiene Ratings Database,,limited,,,,,,,,Costa,Q608845,en:Costa Coffee,,,,,,,,,,,,,,yes,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
582632318,Amalfi,51.514691,-0.1409747,node,,,,Argyll Street,restaurant,restaurant,italian,Amalfi,,,,,,,25,,Argyll Street,,,,,,,,,,,,yes,,,,,,W1F 7TU,,,,,2025-07-30,,,,,,,,,,,,,,,,,,,,Bella Italia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
582769226,Angus Steak Houses,51.5151074,-0.1413059,node,,,,,restaurant,restaurant,steak_house,Angus Steak Houses,,,,,,,,,,,,,,,,,,,,,no,,,,,,,,,,,2024-12-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
594876703,Bibi's,51.511417,-0.1366962,node,,https://letsgotobibis.co.uk/,London,Golden Square,cafe,cafe,,Bibi's,,,,,,London,14/14A,W1F 9JG,Golden Square,0,0,414641,07/00004/COMM,5,5,,,FSA Food Hygiene Ratings Database,,https://letsgotobibis.co.uk/,yes,,"HTTPSConnectionPool(host='letsgotobibis.co.uk', port=443): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<HTTPSConnection(host='letsgotobibis.co.uk', port=443) at 0x1110f7e80>, 'Connection to letsgotobibis.co.uk timed out. (connect timeout=5)'))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nordic Bakery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
623372312,Piccolino,51.5110083,-0.1396484,node,,https://individualrestaurants.com/piccolino/heddon-street-london/,London,Heddon Street,restaurant,restaurant,italian,Piccolino,,,,,,London,21,W1B 4BG,Heddon Street,5,10,412929,00982/0021/0/000,2,15,,,,,https://individualrestaurants.com/piccolino/heddon-street-london/,,,404 Client Error: Not Found for url: https://individualrestaurants.com/piccolino/heddon-street-london/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
624043344,Candy Cafe,51.511855,-0.1313096,node,+44 20 7434 4581,https://www.candycafe.co.uk/,London,Macclesfield Street,cafe,cafe,dessert,Candy Cafe,,,,,,London,3,W1D 6AU,Macclesfield Street,,,414695,,,,+44 20 7434 4581,survey; Bing 2012,,,https://www.candycafe.co.uk/,,,403 Client Error: Forbidden for url: https://www.candycafe.co.uk/,1,,,,,,,,,,,,,,,On first floor. Entrance to stairs is to the left of Leong's Legend.,,,,,,,,,,,,,,GB,South East Asian themed soft drinks and desserts.,signage,2014-08-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
624052552,Kowloon Restaurant and Bakery,51.5115651,-0.1319044,node,,,London,Gerrard Street,restaurant,restaurant,,Kowloon Restaurant and Bakery,,,,,,London,22,W1D 6JH,Gerrard Street,5,10,412645,00909/0021/0/000,4,5,,,FSA Food Hygiene Ratings Database,FSA Food Hygiene Ratings Database,,,,,,,,,,,,,2025-08-23,,,,,,,,,,,Kowloon Restaurant and Bakery,九龍酒樓,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
624055411,Gold Mine,51.5115503,-0.1323648,node,,,,,restaurant,restaurant,,Gold Mine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
624061059,Singapulah,51.5119533,-0.1323731,node,+44 20 3583 5815,http://www.singapulah.co.uk/,London,Shaftesbury Avenue,restaurant,restaurant,asian,Singapulah,[],https://www.instagram.com/singapulah_restaurant/,,https://www.facebook.com/singapulahlondon,Singapulah takes you on a gastronomic journey through the melting pot of flavours and cultures that represents the “little red dot” in Southeast Asia that is Singapore. ,London,53,W1D 6LB,Shaftesbury Avenue,,,1679189,,,,+44 20 3583 5815,,,,http://www.singapulah.co.uk/,no,,,,yes,no,,,,,,,,,Mo-Sa 12:00-22:00; Su 00:00-21:00,no,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
639111707,Wingmans,51.5129947,-0.1315053,node,+44 20 7437 7284,https://shop.wingmans.co.uk/,London,Old Compton Street,restaurant,restaurant,chicken,Wingmans,[],https://www.instagram.com/wingmanschicken,https://www.twitter.com/wingmanschicken,https://www.facebook.com/wingmanschicken,"Award Winning Wings, Homemade American Style Sides, Ice Cold Beers & Cocktails! #GetYourWingsOn! SOHO | KILBURN",London,29-31,W1D 5JS,Old Compton Street,,,,,,,+44 20 7437 7284,,FSA Food Hygiene Ratings Database,FSA Food Hygiene Ratings Database,https://shop.wingmans.co.uk/,,,,,,yes,W1D 5JS,,,,,,,,Mo-Th 12:00-23:00; Fr-Sa 12:00-00:00; Su 12:00-22:30,,,,,,,,,,,,,,yes,wingmanschicken,,,,,,,,wingmanschicken,wingmanschicken,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
639113854,27 Old Compton Street,51.5130431,-0.1313741,node,+44 20 7183 5467,,London,Old Compton Street,restaurant,restaurant,italian,27 Old Compton Street,,,,,,London,27,W1D 5JP,Old Compton Street,10,15,412520,00859/0027/3/004,2,10,,,,FSA Food Hygiene Ratings Database,,,,,,,,W1D 5JP,,,,,2025-10-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,+44 20 7183 5467,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
639118129,Garlic & Shots,51.5138362,-0.1315322,node,+44 20 7734 9505,http://www.garlicandshots.com/,London,Frith Street,restaurant,restaurant,,Garlic & Shots,[],,,,,London,14,W1D 4RD,Frith Street,,,413652,01333/0014/0/002,,,,,,FSA Food Hygiene Ratings Database,http://www.garlicandshots.com/,,,,-1;0,,,,,,,,2025-06-13,,,,,,,,,,,,,,,,,,,,,GB,,,,,,,+44 20 7734 9505,Basement and Ground Floor,+44 20 7734 8722,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
